Site,site_lat,site_long,district,district_long,district_lat,year,count
Hodan,2.03289008,45.31552108,Shabelle Hoose,44.34197,1.79194,2015,16
Hodan,2.03289008,45.31552108,Tabelaha,,,2013,1
Hodan,2.03289008,45.31552108,Tabelaha,,,2015,52
Hodan,2.03289008,45.31552108,Juba Hoose,41.88302,-0.04197,2012,3
Hodan,2.03289008,45.31552108,Juba Hoose,41.88302,-0.04197,2015,1
Hodan,2.03289008,45.31552108,Kahda,45.2677939,2.059891418,2015,2
Hodan,2.03289008,45.31552108,Dharkenley,45.25,2.009499426,2012,5
Hodan,2.03289008,45.31552108,Dharkenley,45.25,2.009499426,2013,9
Hodan,2.03289008,45.31552108,Dharkenley,45.25,2.009499426,2015,7
Hodan,2.03289008,45.31552108,Afgooye,45.1167,2.1426,2012,1
Hodan,2.03289008,45.31552108,Afgooye,45.1167,2.1426,2013,2
Hodan,2.03289008,45.31552108,Afgooye,45.1167,2.1426,2015,3
Hodan,2.03289008,45.31552108,Xamar JaabJab,45.33,2.027641272,2012,75
Hodan,2.03289008,45.31552108,Xamar JaabJab,45.33,2.027641272,2013,12
Hodan,2.03289008,45.31552108,Xamar JaabJab,45.33,2.027641272,2015,4
Hodan,2.03289008,45.31552108,Yaaqshiid,45.35,2.06777077,2012,10
Hodan,2.03289008,45.31552108,Yaaqshiid,45.35,2.06777077,2013,1
Hodan,2.03289008,45.31552108,Yaaqshiid,45.35,2.06777077,2015,1
Hodan,2.03289008,45.31552108,Bay,43.56644,2.65301,2012,50
Hodan,2.03289008,45.31552108,Bay,43.56644,2.65301,2015,7
Hodan,2.03289008,45.31552108,Sarkuus,,,2015,1
Hodan,2.03289008,45.31552108,Ceelasha,,,2013,1
Hodan,2.03289008,45.31552108,Ceelasha,,,2015,4
Hodan,2.03289008,45.31552108,Marerey,,,2015,1
Hodan,2.03289008,45.31552108,Jaamacadaha,,,2015,3
Hodan,2.03289008,45.31552108,Malin,,,2015,2
Hodan,2.03289008,45.31552108,Weedow,,,2015,3
Hodan,2.03289008,45.31552108,Jeesow,,,2015,1
Hodan,2.03289008,45.31552108,Shekh Ibraahim,,,2015,1
Hodan,2.03289008,45.31552108,Ex Control,,,2012,1
Hodan,2.03289008,45.31552108,Ex Control,,,2015,2
Hodan,2.03289008,45.31552108,Wardhiigleey,45.33,2.054921387,2012,17
Hodan,2.03289008,45.31552108,Wardhiigleey,45.33,2.054921387,2013,3593
Hodan,2.03289008,45.31552108,Wardhiigleey,45.33,2.054921387,2014,7055
Hodan,2.03289008,45.31552108,Wardhiigleey,45.33,2.054921387,2015,1
Hodan,2.03289008,45.31552108,Wadajir,45.28,2.054921387,2012,16
Hodan,2.03289008,45.31552108,Wadajir,45.28,2.054921387,2013,289
Hodan,2.03289008,45.31552108,Wadajir,45.28,2.054921387,2015,3
Hodan,2.03289008,45.31552108,Siigaale,,,2015,1
Hodan,2.03289008,45.31552108,Baardheere,42.288,2.339,2015,1
Hodan,2.03289008,45.31552108,Zoonikeey,,,2012,1
Hodan,2.03289008,45.31552108,Zoonikeey,,,2015,1
Hodan,2.03289008,45.31552108,Buuloxuubey,,,2015,1
Hodan,2.03289008,45.31552108,Mch,,,2015,1
Hodan,2.03289008,45.31552108,Hodan ,45.3,2.043926495,2015,43
hodan,2.03289008,45.31552108,H Siliga,,,2013,6
